S0252	SRR5788170
S0253	SRR5788171
S0254	SRR5788176
S0255	SRR5788177
S0256	SRR5788149
S0257	SRR5788148
S0258	SRR5788151
S0260	SRR5788153
S0261	SRR5788152
S0262	SRR5788155
S0263	SRR5788154
S0264	SRR5788157
S0265	SRR5788156
S0266	SRR5788039
S0267	SRR5788040
S0268	SRR5788037
S0269	SRR5788038
S0270	SRR5788043
S0271	SRR5788044
S0272	SRR5788041
S0273	SRR5788042
S0274	SRR5788045
S0275	SRR5788046
S0276-redo	SRR5788403
S0277-redo	SRR5788402
S0278	SRR5788401
S0279	SRR5788400
S0280	SRR5788399
S0282	SRR5788397
S0283	SRR5788396
S0284	SRR5788406
S0286	SRR5788301
S0287	SRR5788404
S0288	SRR5788265
S0289	SRR5788266
S0290	SRR5788267
S0291	SRR5788268
S0292	SRR5788269
S0293	SRR5788270
S0299	SRR5788001
S0300	SRR5787996
S0301	SRR5787995
S0302	SRR5787998
S0303	SRR5787997
S0305	SRR5788003
S0306	SRR5788361
S0307	SRR5788362
S0309	SRR5788360
S0311	SRR5788358
S0312	SRR5788355
S0313	SRR5788356
S0314	SRR5788363
S0315	SRR5788364
S0316	SRR5788275
S0317	SRR5788276
S0318	SRR5788277
S0320	SRR5788271
S0321	SRR5788272
S0322	SRR5788273
S0323	SRR5788274
S0324	SRR5788279
S0325	SRR5788280
S0326	SRR5788418
S0331	SRR5788417
S0332	SRR5788416
S0333	SRR5788415
S0334	SRR5788422
S0335	SRR5788421
S0336	SRR5788420
S0337	SRR5788419
S0339	SRR5788423
S0340	SRR5788057
S0341	SRR5788058
S0342	SRR5788055
S0343	SRR5788056
S0344	SRR5788053
S0345	SRR5788054
S0346	SRR5788051
S0347	SRR5788052
S0348	SRR5788049
S0349	SRR5788050
S0350	SRR5788165
S0351	SRR5788164
S0352	SRR5788167
S0353	SRR5788166
S0354	SRR5788161
S0355	SRR5788160
S0356	SRR5788163
S0357	SRR5788162
S0358	SRR5788159
S0360	SRR5788327
S0361	SRR5788328
S0362-redo	SRR5788329
S0363	SRR5788330
S0365	SRR5788331
S0366	SRR5788332
S0367	SRR5788333
S0368	SRR5788334
S0369	SRR5788325
S0370	SRR5788326
S0371	SRR5788179
S0372	SRR5788178
S0373	SRR5788462
S0374	SRR5788461
S0375	SRR5788460
S0376	SRR5788459
S0377	SRR5788458
S0378	SRR5788457
S0379	SRR5788191
S0380	SRR5787991
S0381	SRR5788093
S0382	SRR5788094
S0383	SRR5788091
S0384	SRR5788092
S0385	SRR5788097
S0386	SRR5788098
S0387	SRR5788095
S0388	SRR5788096
S0389	SRR5788101
S0390	SRR5788102
S0391	SRR5788324
S0392	SRR5788255
S0393	SRR5788258
S0394	SRR5788257
S0395	SRR5788260
S0397	SRR5788262
S0398	SRR5788261
S0399	SRR5788264
S0401	SRR5788124
S0402	SRR5788125
S0403	SRR5788126
S0404	SRR5788127
S0405	SRR5788120
S0406	SRR5788121
S0407	SRR5788122
S0408	SRR5788123
S0409	SRR5788118
S0410	SRR5788119
S0411	SRR5788296
S0413	SRR5788294
S0414	SRR5788293
S0415	SRR5788300
S0416	SRR5788299
S0417	SRR5788298
S0418	SRR5788297
S0419	SRR5788292
S0420	SRR5788291
S0421	SRR5788391
S0422	SRR5788390
S0423	SRR5788389
S0424	SRR5788388
S0425	SRR5788395
S0426	SRR5788394
S0427	SRR5788393
S0428	SRR5788392
S0429	SRR5788386
S0430	SRR5788385
S0431	SRR5788245
S0432	SRR5788246
S0433	SRR5788247
S0434	SRR5788248
S0435	SRR5788241
S0436	SRR5788242
S0437	SRR5788243
S0438	SRR5788244
S0439	SRR5788239
S0440	SRR5788240
S0441	SRR5788133
S0443	SRR5788135
S0444	SRR5788134
S0445	SRR5788129
S0446	SRR5788128
S0050	SRR5788142
S0052	SRR5788138
S0053	SRR5788139
S0054	SRR5788008
S0055	SRR5788007
S0057	SRR5788006
S0058	SRR5788005
S0059	SRR5788012
S0060	SRR5788011
S0062	SRR5788009
S0063	SRR5788014
S0064	SRR5788013
S0065	SRR5788065
S0066	SRR5788066
S0067	SRR5788063
S0068	SRR5788064
S0069	SRR5788069
S0070	SRR5788070
S0071	SRR5788067
S0072	SRR5788068
S0073	SRR5788061
S0074	SRR5788062
S0075	SRR5788107
S0076	SRR5788204
S0077	SRR5788214
S0078	SRR5788213
S0079	SRR5788036
S0080	SRR5788215
S0081	SRR5788228
S0082	SRR5788224
S0083	SRR5788313
S0084	SRR5788312
S0085	SRR5787993
S0086	SRR5787994
S0087	SRR5788249
S0088	SRR5788250
S0089	SRR5788251
S0090	SRR5788252
S0091	SRR5788253
S0092	SRR5788254
S0093	SRR5788025
S0094	SRR5788225
S0095	SRR5788414
S0097	SRR5788412
S0098	SRR5788411
S0099	SRR5788410
S0100	SRR5788409
S0102	SRR5788407
S0103	SRR5788426
S0104	SRR5788425
S0105	SRR5788087
S0106	SRR5788088
S0107	SRR5788085
S0108	SRR5788086
S0109	SRR5788083
S0110	SRR5788084
S0112	SRR5788082
S0115	SRR5788090
S0116	SRR5788221
S0117	SRR5788220
S0118	SRR5788223
S0119	SRR5788222
S0120	SRR5788217
S0122	SRR5788216
S0124	SRR5788218
S0125	SRR5788227
S0129	SRR5788322
S0130	SRR5788323
S0131	SRR5788316
S0132	SRR5788317
S0133	SRR5788318
S0134	SRR5788319
S0135	SRR5788314
S0136	SRR5788315
S0137	SRR5788452
S0138	SRR5788451
S0139	SRR5788450
S0140	SRR5788449
S0141	SRR5788456
S0142	SRR5788455
S0143	SRR5788454
S0144	SRR5788453
S0145	SRR5788448
S0231	SRR5788465
S0233	SRR5788463
S0234	SRR5788464
S0235	SRR5788338
S0236	SRR5788337
S0237	SRR5788336
S0238	SRR5788335
S0239	SRR5788342
S0240	SRR5788341
S0242	SRR5788339
S0243	SRR5788344
S0244	SRR5788343
S0245	SRR5788172
S0246	SRR5788173
S0247	SRR5788174
S0248	SRR5788175
S0249	SRR5788168
S0250	SRR5788169
